naics_6,naics_title,sector_naics_2,sector_profile_id,confidence,mapping_method
112210,Hog and Pig Farming,11,agriculture.livestock,high,naics4_rule
112310,Chicken Egg Production,11,agriculture.livestock,high,naics4_rule
112320,Broilers and Other Meat Type Chicken Production,11,agriculture.livestock,high,naics4_rule
112330,Turkey Production,11,agriculture.livestock,high,naics4_rule
112340,Poultry Hatcheries,11,agriculture.livestock,high,naics4_rule
112390,Other Poultry Production,11,agriculture.livestock,high,naics4_rule
112410,Sheep Farming,11,agriculture.livestock,high,naics4_rule
112420,Goat Farming,11,agriculture.livestock,high,naics4_rule
112511,Finfish Farming and Fish Hatcheries,11,agriculture.livestock,high,naics4_rule
112512,Shellfish Farming,11,agriculture.livestock,high,naics4_rule
112519,Other Aquaculture,11,agriculture.livestock,high,naics4_rule
112910,Apiculture,11,agriculture.livestock,high,naics4_rule
112920,Horses and Other Equine Production,11,agriculture.livestock,high,naics4_rule
112930,Fur-Bearing Animal and Rabbit Production,11,agriculture.livestock,high,naics4_rule
112990,All Other Animal Production,11,agriculture.livestock,high,naics4_rule
113110,Timber Tract Operations,11,agriculture.forestry_logging,high,naics4_rule
113210,Forest Nurseries and Gathering of Forest Products,11,agriculture.forestry_logging,high,naics4_rule
113310,Logging,11,agriculture.forestry_logging,high,naics4_rule
114111,Finfish Fishing,11,agriculture.forestry_logging,high,naics4_rule
114112,Shellfish Fishing,11,agriculture.forestry_logging,high,naics4_rule
114119,Other Marine Fishing,11,agriculture.forestry_logging,high,naics4_rule
114210,Hunting and Trapping,11,agriculture.forestry_logging,high,naics4_rule
115111,Cotton Ginning,11,agriculture.support_services,high,naics4_rule
115112,"Soil Preparation, Planting, and Cultivating",11,agriculture.support_services,high,naics4_rule
115113,"Crop Harvesting, Primarily by Machine",11,agriculture.support_services,high,naics4_rule
115114,Postharvest Crop Activities (except Cotton Ginning),11,agriculture.support_services,high,naics4_rule
115115,Farm Labor Contractors and Crew Leaders,11,agriculture.support_services,high,naics4_rule
115116,Farm Management Services,11,agriculture.support_services,high,naics4_rule
115210,Support Activities for Animal Production,11,agriculture.support_services,high,naics4_rule
115310,Support Activities for Forestry,11,agriculture.support_services,high,naics4_rule
# Session 6 OOS reroute: mining.oil_gas (oil/gas extraction) — sector 21 is OOS-by-spec per classifier (B2B/heavy-industry; no local-discovery surface).
211120,Crude Petroleum Extraction,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
211130,Natural Gas Extraction,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
# Session 6 OOS reroute: mining.aggregates_quarrying — sector 21 OOS; B2B mining with no consumer surface.
212114,Surface Coal Mining,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212115,Underground Coal Mining,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212210,Iron Ore Mining,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212220,Gold Ore and Silver Ore Mining,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212230,"Copper, Nickel, Lead, and Zinc Mining",21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212290,Other Metal Ore Mining,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212311,Dimension Stone Mining and Quarrying,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212312,Crushed and Broken Limestone Mining and Quarrying,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212313,Crushed and Broken Granite Mining and Quarrying,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212319,Other Crushed and Broken Stone Mining and Quarrying,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212321,Construction Sand and Gravel Mining,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212322,Industrial Sand Mining,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
212390,Other Nonmetallic Mineral Mining and Quarrying,21,OUT_OF_SCOPE_NICHE,high,session6_oos_override
213111,Drilling Oil and Gas Wells,21,mining.support_services,high,naics4_rule
213112,Support Activities for Oil and Gas Operations,21,mining.support_services,high,naics4_rule
213113,Support Activities for Coal Mining,21,mining.support_services,high,naics4_rule
213114,Support Activities for Metal Mining,21,mining.support_services,high,naics4_rule
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,21,mining.support_services,high,naics4_rule
# Session 6 OOS reroute: utilities.electric — sector 22 is OOS-by-spec (regulated utilities; not BizRadar customer base).
221111,Hydroelectric Power Generation,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221112,Fossil Fuel Electric Power Generation,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221113,Nuclear Electric Power Generation,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221114,Solar Electric Power Generation,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221115,Wind Electric Power Generation,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221116,Geothermal Electric Power Generation,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221117,Biomass Electric Power Generation,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221118,Other Electric Power Generation,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221121,Electric Bulk Power Transmission and Control,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221122,Electric Power Distribution,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
# Session 6 OOS reroute: utilities.gas — sector 22 OOS regulated utility.
221210,Natural Gas Distribution,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
# Session 6 OOS reroute: utilities.water_sewage — sector 22 OOS regulated utility.
221310,Water Supply and Irrigation Systems,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221320,Sewage Treatment Facilities,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
221330,Steam and Air-Conditioning Supply,22,OUT_OF_SCOPE_REGULATED,high,session6_oos_override
236115,New Single-Family Housing Construction (except For-Sale Builders),23,construction.residential_trades,high,naics6_override
236116,New Multifamily Housing Construction (except For-Sale Builders),23,construction.residential_trades,high,naics6_override
236117,New Housing For-Sale Builders,23,construction.residential_trades,high,naics6_override
236118,Residential Remodelers,23,construction.residential_trades,high,naics6_override
236210,Industrial Building Construction,23,construction.commercial_gc,high,naics6_override
236220,Commercial and Institutional Building Construction,23,construction.commercial_gc,high,naics6_override
237110,Water and Sewer Line and Related Structures Construction,23,construction.civil_heavy,high,naics4_rule
237120,Oil and Gas Pipeline and Related Structures Construction,23,construction.civil_heavy,high,naics4_rule
237130,Power and Communication Line and Related Structures Construction,23,construction.civil_heavy,high,naics4_rule
237210,Land Subdivision,23,construction.civil_heavy,high,naics4_rule
237310,"Highway, Street, and Bridge Construction",23,construction.civil_heavy,high,naics4_rule
237990,Other Heavy and Civil Engineering Construction,23,construction.civil_heavy,high,naics4_rule
238110,Poured Concrete Foundation and Structure Contractors,23,construction.residential_trades,high,naics4_rule
238120,Structural Steel and Precast Concrete Contractors,23,construction.residential_trades,high,naics4_rule
238130,Framing Contractors,23,construction.residential_trades,high,naics4_rule
238140,Masonry Contractors,23,construction.residential_trades,high,naics4_rule
238150,Glass and Glazing Contractors,23,construction.residential_trades,high,naics4_rule
238160,Roofing Contractors,23,construction.residential_trades,high,naics4_rule
238170,Siding Contractors,23,construction.residential_trades,high,naics4_rule
238190,"Other Foundation, Structure, and Building Exterior Contractors",23,construction.residential_trades,high,naics4_rule
238210,Electrical Contractors and Other Wiring Installation Contractors,23,construction.residential_trades,high,naics4_rule
238220,"Plumbing, Heating, and Air-Conditioning Contractors",23,construction.residential_trades,high,naics4_rule
238290,Other Building Equipment Contractors,23,construction.residential_trades,high,naics4_rule
238310,Drywall and Insulation Contractors,23,construction.residential_trades,high,naics4_rule
238320,Painting and Wall Covering Contractors,23,construction.residential_trades,high,naics4_rule
238330,Flooring Contractors,23,construction.residential_trades,high,naics4_rule
238340,Tile and Terrazzo Contractors,23,construction.residential_trades,high,naics4_rule
238350,Finish Carpentry Contractors,23,construction.residential_trades,high,naics4_rule
238390,Other Building Finishing Contractors,23,construction.residential_trades,high,naics4_rule
238910,Site Preparation Contractors,23,construction.residential_trades,high,naics4_rule
238990,All Other Specialty Trade Contractors,23,construction.residential_trades,high,naics4_rule
311111,Dog and Cat Food Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311119,Other Animal Food Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311211,Flour Milling,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311212,Rice Milling,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311213,Malt Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311221,Wet Corn Milling and Starch Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311224,Soybean and Other Oilseed Processing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311225,Fats and Oils Refining and Blending,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311230,Breakfast Cereal Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311313,Beet Sugar Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311314,Cane Sugar Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311340,Nonchocolate Confectionery Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311352,Confectionery Manufacturing from Purchased Chocolate,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311412,Frozen Specialty Food Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311421,Fruit and Vegetable Canning,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311422,Specialty Canning,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311423,Dried and Dehydrated Food Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311511,Fluid Milk Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311512,Creamery Butter Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311513,Cheese Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311520,Ice Cream and Frozen Dessert Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311611,Animal (except Poultry) Slaughtering,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311612,Meat Processed from Carcasses,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311613,Rendering and Meat Byproduct Processing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311615,Poultry Processing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311710,Seafood Product Preparation and Packaging,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311811,Retail Bakeries,31-33,hospitality.retail_bakery,high,phase2_oos_override
311812,Commercial Bakeries,31-33,hospitality.retail_bakery,high,phase2_oos_override
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311821,Cookie and Cracker Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311830,Tortilla Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311911,Roasted Nuts and Peanut Butter Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311919,Other Snack Food Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311920,Coffee and Tea Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics6_override
311930,Flavoring Syrup and Concentrate Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311942,Spice and Extract Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311991,Perishable Prepared Food Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
311999,All Other Miscellaneous Food Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
312111,Soft Drink Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
312112,Bottled Water Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
312113,Ice Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
312120,Breweries,31-33,hospitality.bar_nightlife,high,phase2_oos_override
312130,Wineries,31-33,hospitality.bar_nightlife,high,phase2_oos_override
312140,Distilleries,31-33,hospitality.bar_nightlife,high,phase2_oos_override
312230,Tobacco Manufacturing,31-33,manufacturing.food_beverage_dtc,high,naics4_rule
313110,"Fiber, Yarn, and Thread Mills",31-33,manufacturing.textile_apparel,high,naics4_rule
313210,Broadwoven Fabric Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,31-33,manufacturing.textile_apparel,high,naics4_rule
313230,Nonwoven Fabric Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
313240,Knit Fabric Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
313310,Textile and Fabric Finishing Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
313320,Fabric Coating Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
314110,Carpet and Rug Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
314120,Curtain and Linen Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
314910,Textile Bag and Canvas Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",31-33,manufacturing.textile_apparel,high,naics4_rule
314999,All Other Miscellaneous Textile Product Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
315120,Apparel Knitting Mills,31-33,manufacturing.textile_apparel,high,naics4_rule
315210,Cut and Sew Apparel Contractors,31-33,manufacturing.textile_apparel,high,naics4_rule
315250,Cut and Sew Apparel Manufacturing (except Contractors),31-33,manufacturing.textile_apparel,high,naics4_rule
315990,Apparel Accessories and Other Apparel Manufacturing,31-33,manufacturing.textile_apparel,high,naics4_rule
316110,Leather and Hide Tanning and Finishing,31-33,manufacturing.textile_apparel,high,naics4_rule
316210,Footwear Manufacturing,31-33,manufacturing.textile_apparel,high,naics4_rule
316990,Other Leather and Allied Product Manufacturing,31-33,manufacturing.textile_apparel,high,naics4_rule
321113,Sawmills,31-33,manufacturing.wood_paper_print,high,naics4_rule
321114,Wood Preservation,31-33,manufacturing.wood_paper_print,high,naics4_rule
321211,Hardwood Veneer and Plywood Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
321212,Softwood Veneer and Plywood Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
321215,Engineered Wood Member Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
321219,Reconstituted Wood Product Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
321911,Wood Window and Door Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
321912,"Cut Stock, Resawing Lumber, and Planing",31-33,manufacturing.wood_paper_print,high,naics4_rule
321918,Other Millwork (including Flooring),31-33,manufacturing.wood_paper_print,high,naics4_rule
321920,Wood Container and Pallet Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
321991,Manufactured Home (Mobile Home) Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
321992,Prefabricated Wood Building Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
321999,All Other Miscellaneous Wood Product Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
322110,Pulp Mills,31-33,manufacturing.wood_paper_print,high,naics4_rule
322120,Paper Mills,31-33,manufacturing.wood_paper_print,high,naics4_rule
322130,Paperboard Mills,31-33,manufacturing.wood_paper_print,high,naics4_rule
322211,Corrugated and Solid Fiber Box Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
322212,Folding Paperboard Box Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
322219,Other Paperboard Container Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
322220,Paper Bag and Coated and Treated Paper Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
322230,Stationery Product Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
322291,Sanitary Paper Product Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
322299,All Other Converted Paper Product Manufacturing,31-33,manufacturing.wood_paper_print,high,naics4_rule
323111,Commercial Printing (except Screen and Books),31-33,professional.consulting,high,naics6_override
323113,Commercial Screen Printing,31-33,manufacturing.wood_paper_print,high,naics4_rule
323117,Books Printing,31-33,manufacturing.wood_paper_print,high,naics4_rule
323120,Support Activities for Printing,31-33,manufacturing.wood_paper_print,high,naics4_rule
324110,Petroleum Refineries,31-33,manufacturing.chemical_petroleum,high,naics4_rule
324121,Asphalt Paving Mixture and Block Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
324122,Asphalt Shingle and Coating Materials Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
324191,Petroleum Lubricating Oil and Grease Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
324199,All Other Petroleum and Coal Products Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325110,Petrochemical Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325120,Industrial Gas Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325130,Synthetic Dye and Pigment Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325180,Other Basic Inorganic Chemical Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325193,Ethyl Alcohol Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",31-33,manufacturing.chemical_petroleum,high,naics4_rule
325199,All Other Basic Organic Chemical Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325211,Plastics Material and Resin Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325212,Synthetic Rubber Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325311,Nitrogenous Fertilizer Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325312,Phosphatic Fertilizer Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325314,Fertilizer (Mixing Only) Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325315,Compost Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325320,Pesticide and Other Agricultural Chemical Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325411,Medicinal and Botanical Manufacturing,31-33,manufacturing.advanced_regulated,high,naics4_rule
325412,Pharmaceutical Preparation Manufacturing,31-33,manufacturing.advanced_regulated,high,naics4_rule
325413,In-Vitro Diagnostic Substance Manufacturing,31-33,manufacturing.advanced_regulated,high,naics4_rule
325414,Biological Product (except Diagnostic) Manufacturing,31-33,manufacturing.advanced_regulated,high,naics4_rule
325510,Paint and Coating Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325520,Adhesive Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325611,Soap and Other Detergent Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325612,Polish and Other Sanitation Good Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325613,Surface Active Agent Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325620,Toilet Preparation Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325910,Printing Ink Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325920,Explosives Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325991,Custom Compounding of Purchased Resins,31-33,manufacturing.chemical_petroleum,high,naics4_rule
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",31-33,manufacturing.chemical_petroleum,high,naics4_rule
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,31-33,manufacturing.chemical_petroleum,high,naics4_rule
326111,Plastics Bag and Pouch Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326121,Unlaminated Plastics Profile Shape Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326122,Plastics Pipe and Pipe Fitting Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",31-33,manufacturing.industrial_b2b,high,naics4_rule
326140,Polystyrene Foam Product Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326160,Plastics Bottle Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326191,Plastics Plumbing Fixture Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326199,All Other Plastics Product Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326211,Tire Manufacturing (except Retreading),31-33,manufacturing.industrial_b2b,high,naics4_rule
326212,Tire Retreading,31-33,manufacturing.industrial_b2b,high,naics4_rule
326220,Rubber and Plastics Hoses and Belting Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
326291,Rubber Product Manufacturing for Mechanical Use,31-33,manufacturing.industrial_b2b,high,naics4_rule
326299,All Other Rubber Product Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",31-33,manufacturing.industrial_b2b,high,naics4_rule
327120,Clay Building Material and Refractories Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327211,Flat Glass Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327212,Other Pressed and Blown Glass and Glassware Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327213,Glass Container Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327215,Glass Product Manufacturing Made of Purchased Glass,31-33,manufacturing.industrial_b2b,high,naics4_rule
327310,Cement Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327320,Ready-Mix Concrete Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327331,Concrete Block and Brick Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327332,Concrete Pipe Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327390,Other Concrete Product Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327410,Lime Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327420,Gypsum Product Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327910,Abrasive Product Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327991,Cut Stone and Stone Product Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327992,Ground or Treated Mineral and Earth Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327993,Mineral Wool Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
331110,Iron and Steel Mills and Ferroalloy Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,31-33,manufacturing.industrial_b2b,high,naics4_rule
331221,Rolled Steel Shape Manufacturing,31-33,manufacturing.industrial_b2b,high,naics4_rule
331222,Steel Wire Drawing,31-33,manufacturing.industrial_b2b,high,naics4_rule
331313,Alumina Refining and Primary Aluminum Production,31-33,manufacturing.industrial_b2b,high,naics4_rule
331314,Secondary Smelting and Alloying of Aluminum,31-33,manufacturing.industrial_b2b,high,naics4_rule
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",31-33,manufacturing.industrial_b2b,high,naics4_rule
331318,"Other Aluminum Rolling, Drawing, and Extruding",31-33,manufacturing.industrial_b2b,high,naics4_rule
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,31-33,manufacturing.industrial_b2b,high,naics4_rule
331420,"Copper Rolling, Drawing, Extruding, and Alloying",31-33,manufacturing.industrial_b2b,high,naics4_rule
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",31-33,manufacturing.industrial_b2b,high,naics4_rule
