modern_label,category,closest_naics_6,naics_title,sector_profile_id,confidence,mapping_method
Aerial Silks / Pole Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Aquarium (Private/Tourist),"Fitness, Wellness & Recreation",712130,Zoos and Botanical Gardens,recreation.museums_heritage,high,modern_via_naics6
Axe Throwing Venue,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_keyword_override
Ballet School,"Fitness, Wellness & Recreation",611610,Fine Arts Schools,education.tutoring_test_prep,high,modern_via_naics6
Barcade / Retro Arcade Bar,"Fitness, Wellness & Recreation",713120,Amusement Arcades,recreation.amusement_attraction,high,modern_via_naics6
Barre Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
Batting Cage / Indoor Baseball,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Bowling Alley (Boutique),"Fitness, Wellness & Recreation",713950,Bowling Centers,recreation.amusement_attraction,high,modern_via_naics6
Boxing Gym,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Brazilian Jiu-Jitsu (BJJ) Gym,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
Butterfly House / Garden,"Fitness, Wellness & Recreation",712130,Zoos and Botanical Gardens,recreation.museums_heritage,high,modern_via_naics6
Children's Indoor Play Cafe,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Climbing Gym / Bouldering Gym,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
CrossFit Box,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
Dance Studio,"Fitness, Wellness & Recreation",611610,Fine Arts Schools,education.tutoring_test_prep,high,modern_via_naics6
Driving Range,"Fitness, Wellness & Recreation",713910,Golf Courses and Country Clubs,recreation.amusement_attraction,high,modern_via_naics6
Duckpin Bowling,"Fitness, Wellness & Recreation",713950,Bowling Centers,recreation.amusement_attraction,high,modern_via_naics6
Escape Room,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_keyword_override
F45 / HIIT Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
Go-Kart Track,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Hip-Hop / Street Dance Studio,"Fitness, Wellness & Recreation",611610,Fine Arts Schools,education.tutoring_test_prep,high,modern_via_naics6
Hot Yoga Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
Ice Skating Rink,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Indoor Golf / Golf Simulator,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Indoor Playground / Family FEC,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Indoor Skydiving,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Indoor Soccer Facility,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Indoor Trampoline Fitness,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Karate / Taekwondo Dojo,"Fitness, Wellness & Recreation",611620,Sports and Recreation Instruction,recreation.fitness_studio,high,modern_keyword_override
Kickboxing Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Knife Throwing Venue,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Laser Tag Arena,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
MMA Gym,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Martial Arts School,"Fitness, Wellness & Recreation",611620,Sports and Recreation Instruction,recreation.fitness_studio,high,modern_keyword_override
Mini Golf Course,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Ninja Warrior Gym,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Orange Theory / Group Fitness,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Padel Club,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Paintball Field / Airsoft Field,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Petting Zoo / Animal Encounter,"Fitness, Wellness & Recreation",712130,Zoos and Botanical Gardens,recreation.museums_heritage,high,modern_via_naics6
Pickleball Club / Court,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Pilates Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
"Recovery Studio (cold plunge, etc.)","Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Reformer Pilates Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
Roller Skating Rink,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Skate Park,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Spin / Cycle Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
Squash Club,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Stretching Studio (StretchLab etc.),"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Topgolf-style Venue,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
Trampoline Park,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_via_naics6
VR Arcade / Virtual Reality Venue,"Fitness, Wellness & Recreation",713120,Amusement Arcades,recreation.amusement_attraction,high,modern_via_naics6
Yoga Studio,"Fitness, Wellness & Recreation",713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_keyword_override
Acai Bowl Shop,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Bagel Shop,Food Service (modern formats not in NAICS),311811,Retail Bakeries,manufacturing.food_beverage_dtc,high,modern_via_naics6
Board Game Cafe,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_keyword_override
Boba Tea / Bubble Tea Shop,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Brewery Taproom,Food Service (modern formats not in NAICS),722410,Drinking Places (Alcoholic Beverages),manufacturing.food_beverage_dtc,high,modern_keyword_override
Build-Your-Own-Bowl Restaurant,Food Service (modern formats not in NAICS),722513,Limited-Service Restaurants,hospitality.cafe_quick_service,high,modern_via_naics6
Cat Cafe,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Cereal Bar,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Cidery / Hard Cider Maker,Food Service (modern formats not in NAICS),312130,Wineries,manufacturing.food_beverage_dtc,high,modern_keyword_override
Cigar Bar / Cigar Lounge,Food Service (modern formats not in NAICS),722410,Drinking Places (Alcoholic Beverages),hospitality.bar_nightlife,high,modern_via_naics6
Cocktail Lounge / Speakeasy,Food Service (modern formats not in NAICS),722410,Drinking Places (Alcoholic Beverages),hospitality.bar_nightlife,high,modern_via_naics6
Coffee Cart / Mobile Coffee,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Cookie Shop,Food Service (modern formats not in NAICS),311811,Retail Bakeries,manufacturing.food_beverage_dtc,high,modern_via_naics6
Cupcake Shop,Food Service (modern formats not in NAICS),311811,Retail Bakeries,manufacturing.food_beverage_dtc,high,modern_via_naics6
Dessert Cafe,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Distillery Tasting Room,Food Service (modern formats not in NAICS),312140,Distilleries,manufacturing.food_beverage_dtc,high,modern_keyword_override
Donut Shop,Food Service (modern formats not in NAICS),311811,Retail Bakeries,manufacturing.food_beverage_dtc,high,modern_via_naics6
Food Truck,Food Service (modern formats not in NAICS),722330,Mobile Food Services,hospitality.cafe_quick_service,high,modern_keyword_override
Frozen Yogurt Shop,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Ghost Kitchen / Cloud Kitchen,Food Service (modern formats not in NAICS),722599,Ghost Kitchens (synthetic),hospitality.ghost_kitchen,high,modern_keyword_override
Food Hall,Hospitality,531120,Lessors of Other Real Property,real_estate.property_management,medium,modern_via_naics6
Hookah Lounge,Food Service (modern formats not in NAICS),722410,Drinking Places (Alcoholic Beverages),hospitality.bar_nightlife,high,modern_via_naics6
Hot Dog Stand,Food Service (modern formats not in NAICS),722330,Mobile Food Services,hospitality.cafe_quick_service,high,modern_via_naics6
Hot Pot Restaurant,Food Service (modern formats not in NAICS),722511,Full-Service Restaurants,hospitality.full_service_restaurant,high,modern_via_naics6
Ice Cream Shop / Gelato Shop,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Juice Bar / Smoothie Shop,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Kombucha Brewery,Food Service (modern formats not in NAICS),312111,Soft Drink Manufacturing,manufacturing.food_beverage_dtc,high,modern_keyword_override
Korean BBQ Restaurant,Food Service (modern formats not in NAICS),722511,Full-Service Restaurants,hospitality.full_service_restaurant,high,modern_via_naics6
Meadery,Food Service (modern formats not in NAICS),312130,Wineries,manufacturing.food_beverage_dtc,high,modern_keyword_override
Meal Prep / Meal Kit Service,Food Service (modern formats not in NAICS),722320,Caterers,hospitality.catering_special_food,high,modern_keyword_override
Personal Chef Service,Food Service (modern formats not in NAICS),722320,Caterers,hospitality.catering_special_food,high,modern_keyword_override
Pho Restaurant,Food Service (modern formats not in NAICS),722511,Full-Service Restaurants,hospitality.full_service_restaurant,high,modern_via_naics6
Poke Bowl Restaurant,Food Service (modern formats not in NAICS),722513,Limited-Service Restaurants,hospitality.cafe_quick_service,high,modern_via_naics6
Pop-Up Restaurant,Food Service (modern formats not in NAICS),722320,Caterers,hospitality.catering_special_food,high,modern_via_naics6
Pretzel Shop,Food Service (modern formats not in NAICS),722515,Snack and Nonalcoholic Beverage Bars,hospitality.cafe_quick_service,high,modern_via_naics6
Ramen Shop,Food Service (modern formats not in NAICS),722511,Full-Service Restaurants,hospitality.full_service_restaurant,high,modern_via_naics6
Salad Bar Restaurant,Food Service (modern formats not in NAICS),722513,Limited-Service Restaurants,hospitality.cafe_quick_service,high,modern_via_naics6
Sports Bar,Food Service (modern formats not in NAICS),722410,Drinking Places (Alcoholic Beverages),hospitality.bar_nightlife,high,modern_via_naics6
Sushi Bar,Food Service (modern formats not in NAICS),722511,Full-Service Restaurants,hospitality.full_service_restaurant,high,modern_via_naics6
Taco Truck,Food Service (modern formats not in NAICS),722330,Mobile Food Services,hospitality.cafe_quick_service,high,modern_via_naics6
Tapas Bar,Food Service (modern formats not in NAICS),722511,Full-Service Restaurants,hospitality.full_service_restaurant,high,modern_via_naics6
Virtual Restaurant Brand,Food Service (modern formats not in NAICS),722513,Limited-Service Restaurants,hospitality.cafe_quick_service,high,modern_via_naics6
Wine Bar,Food Service (modern formats not in NAICS),722410,Drinking Places (Alcoholic Beverages),hospitality.bar_nightlife,high,modern_via_naics6
ABA Therapy / Autism Services,Healthcare & Medical (modern formats),621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",healthcare.allied_health,high,modern_via_naics6
ADHD / Behavioral Health Coach,Healthcare & Medical (modern formats),621330,Offices of Mental Health Practitioners (except Physicians),healthcare.behavioral_health,high,modern_via_naics6
Acupuncturist,Healthcare & Medical (modern formats),621399,Offices of All Other Miscellaneous Health Practitioners,healthcare.allied_health,high,modern_via_naics6
Botox / Aesthetics Clinic,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Chiropractor,Healthcare & Medical (modern formats),621310,Offices of Chiropractors,healthcare.allied_health,high,modern_via_naics6
Concierge Medicine Practice,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Couples / Marriage Counselor,Healthcare & Medical (modern formats),621330,Offices of Mental Health Practitioners (except Physicians),healthcare.behavioral_health,high,modern_via_naics6
Dental Hygiene Studio,Healthcare & Medical (modern formats),621210,Offices of Dentists,healthcare.dental_practice,high,modern_via_naics6
Dental Practice,Healthcare & Medical (modern formats),621210,Offices of Dentists,healthcare.dental_practice,high,modern_via_naics6
Direct Primary Care (DPC),Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Family Therapist,Healthcare & Medical (modern formats),621330,Offices of Mental Health Practitioners (except Physicians),healthcare.behavioral_health,high,modern_via_naics6
Fertility Clinic,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Functional Medicine Practice,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Hair Restoration Clinic,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Holistic / Integrative Medicine,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Home Health Aide Service,Healthcare & Medical (modern formats),621610,Home Health Care Services,healthcare.medical_practice,high,modern_keyword_override
Hormone / Testosterone Clinic,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Hospice Care,Healthcare & Medical (modern formats),621610,Home Health Care Services,healthcare.medical_practice,high,modern_via_naics6
Ketamine Clinic,Healthcare & Medical (modern formats),621498,All Other Outpatient Care Centers,healthcare.specialty_clinic,high,modern_via_naics6
Memory Care Facility,Healthcare & Medical (modern formats),623312,Assisted Living Facilities for the Elderly,healthcare.residential_care,high,modern_via_naics6
Mobile Eye Care,Healthcare & Medical (modern formats),621320,Offices of Optometrists,healthcare.allied_health,high,modern_via_naics6
Mobile Vet,Healthcare & Medical (modern formats),541940,Veterinary Services,professional.veterinary,high,modern_via_naics6
Naturopath,Healthcare & Medical (modern formats),621399,Offices of All Other Miscellaneous Health Practitioners,healthcare.allied_health,high,modern_via_naics6
Optometrist (Private),Healthcare & Medical (modern formats),621320,Offices of Optometrists,healthcare.allied_health,high,modern_via_naics6
Orthodontist,Healthcare & Medical (modern formats),621210,Offices of Dentists,healthcare.dental_practice,high,modern_via_naics6
Pediatric Dentist,Healthcare & Medical (modern formats),621210,Offices of Dentists,healthcare.dental_practice,high,modern_via_naics6
Pediatric Occupational Therapy,Healthcare & Medical (modern formats),621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",healthcare.allied_health,high,modern_via_naics6
Pediatric Speech Therapy,Healthcare & Medical (modern formats),621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",healthcare.allied_health,high,modern_via_naics6
Pet Hospice,Healthcare & Medical (modern formats),541940,Veterinary Services,professional.veterinary,high,modern_via_naics6
Physical Therapy Clinic,Healthcare & Medical (modern formats),621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",healthcare.allied_health,high,modern_via_naics6
Psychiatrist (Private),Healthcare & Medical (modern formats),621112,"Offices of Physicians, Mental Health Specialists",healthcare.behavioral_health,high,modern_via_naics6
Senior Care / In-Home Care,Healthcare & Medical (modern formats),624120,Services for the Elderly and Persons with Disabilities,healthcare.social_assistance,high,modern_via_naics6
Sleep Clinic,Healthcare & Medical (modern formats),621498,All Other Outpatient Care Centers,healthcare.specialty_clinic,high,modern_via_naics6
Sober Living Home,Healthcare & Medical (modern formats),623220,Residential Mental Health and Substance Abuse Facilities,healthcare.behavioral_health,high,modern_via_naics6
Sports Medicine Clinic,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_via_naics6
Substance Abuse Recovery Center,Healthcare & Medical (modern formats),621420,Outpatient Mental Health and Substance Abuse Centers,healthcare.behavioral_health,high,modern_via_naics6
Telehealth Provider,Healthcare & Medical (modern formats),621111,Offices of Physicians (except Mental Health Specialists),healthcare.medical_practice,high,modern_keyword_override
Therapist / Counselor (Private),Healthcare & Medical (modern formats),621330,Offices of Mental Health Practitioners (except Physicians),healthcare.behavioral_health,high,modern_via_naics6
Urgent Care Clinic,Healthcare & Medical (modern formats),621493,Freestanding Ambulatory Surgical and Emergency Centers,healthcare.medical_practice,high,modern_keyword_override
Veterinary Clinic,Healthcare & Medical (modern formats),541940,Veterinary Services,professional.veterinary,high,modern_via_naics6
Walk-In Clinic,Healthcare & Medical (modern formats),621498,All Other Outpatient Care Centers,healthcare.specialty_clinic,high,modern_via_naics6
Weight Loss Clinic / GLP-1 Clinic,Healthcare & Medical (modern formats),621498,All Other Outpatient Care Centers,healthcare.specialty_clinic,high,modern_via_naics6
Airbnb Host / Short-Term Rental,Lodging & Hospitality (modern formats),721199,All Other Traveler Accommodation,hospitality.lodging,high,modern_via_naics6
Bed and Breakfast Inn,Lodging & Hospitality (modern formats),721191,Bed-and-Breakfast Inns,hospitality.lodging,high,modern_via_naics6
Boutique Hotel,Lodging & Hospitality (modern formats),721110,Hotels (except Casino Hotels) and Motels,hospitality.lodging,high,modern_via_naics6
Capsule Hotel,Lodging & Hospitality (modern formats),721110,Hotels (except Casino Hotels) and Motels,hospitality.lodging,high,modern_via_naics6
Dude Ranch / Guest Ranch,Lodging & Hospitality (modern formats),721199,All Other Traveler Accommodation,hospitality.lodging,high,modern_via_naics6
Eco-Lodge,Lodging & Hospitality (modern formats),721110,Hotels (except Casino Hotels) and Motels,hospitality.lodging,high,modern_via_naics6
Glamping Site,Lodging & Hospitality (modern formats),721211,RV (Recreational Vehicle) Parks and Campgrounds,hospitality.lodging,high,modern_via_naics6
Hostel,Lodging & Hospitality (modern formats),721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",hospitality.lodging,high,modern_via_naics6
Pod Hotel,Lodging & Hospitality (modern formats),721110,Hotels (except Casino Hotels) and Motels,hospitality.lodging,high,modern_via_naics6
Tiny House / Cabin Rental,Lodging & Hospitality (modern formats),721199,All Other Traveler Accommodation,hospitality.lodging,high,modern_via_naics6
Treehouse Rental,Lodging & Hospitality (modern formats),721199,All Other Traveler Accommodation,hospitality.lodging,high,modern_via_naics6
Vacation Rental Management,Lodging & Hospitality (modern formats),721199,All Other Traveler Accommodation,hospitality.lodging,high,modern_via_naics6
Wellness Retreat,Lodging & Hospitality (modern formats),721110,Hotels (except Casino Hotels) and Motels,hospitality.lodging,high,modern_via_naics6
Resort,Lodging & Hospitality (modern formats),721110,Hotels (except Casino Hotels) and Motels,hospitality.resort,high,modern_keyword_override
Lodge,Lodging & Hospitality (modern formats),721110,Hotels (except Casino Hotels) and Motels,hospitality.resort,high,modern_keyword_override
Yurt Rental,Lodging & Hospitality (modern formats),721211,RV (Recreational Vehicle) Parks and Campgrounds,hospitality.lodging,high,modern_via_naics6
ATM Operator / Route,Niche & Emerging,522390,Other Activities Related to Credit Intermediation,finance.community_bank,high,modern_via_naics6
Aquaculture / Fish Farm,Niche & Emerging,112519,Other Aquaculture,agriculture.livestock,high,modern_via_naics6
Boat Storage / Indoor Storage,Niche & Emerging,531130,Lessors of Miniwarehouses and Self-Storage Units,real_estate.self_storage,high,modern_via_naics6
Cannabis Cultivation (state-legal),Niche & Emerging,111419,Other Food Crops Grown Under Cover,agriculture.crop_farming,high,modern_via_naics6
Christmas Tree Farm,Niche & Emerging,111421,Nursery and Tree Production,agriculture.crop_farming,high,modern_via_naics6
Container Yard / Cold Storage,Niche & Emerging,493120,Refrigerated Warehousing and Storage,transportation.warehousing_3pl,high,modern_via_naics6
Course Marketplace Instructor,Niche & Emerging,611710,Educational Support Services,education.support_services,high,modern_via_naics6
Crypto Trader / DeFi,Niche & Emerging,523910,Miscellaneous Intermediation,finance.ria_wealth_management,high,modern_via_naics6
Day Trader / Prop Trader,Niche & Emerging,523910,Miscellaneous Intermediation,finance.ria_wealth_management,high,modern_via_naics6
Domain Investor / Flipper,Niche & Emerging,519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_via_naics6
Drone Light Show Operator,Niche & Emerging,711190,Other Performing Arts Companies,recreation.performing_arts,high,modern_via_naics6
Dry Cleaner,Niche & Emerging,812320,Drycleaning and Laundry Services (except Coin-Operated),other_services.dry_cleaning_laundry,high,modern_via_naics6
Forex Trader,Niche & Emerging,523910,Miscellaneous Intermediation,finance.ria_wealth_management,high,modern_via_naics6
Hemp Farm / Processor,Niche & Emerging,111998,All Other Miscellaneous Crop Farming,agriculture.crop_farming,high,modern_via_naics6
Honey / Beekeeper,Niche & Emerging,112910,Apiculture,agriculture.livestock,high,modern_via_naics6
Hydroponics / Vertical Farm,Niche & Emerging,111419,Other Food Crops Grown Under Cover,agriculture.crop_farming,high,modern_via_naics6
Laundromat,Niche & Emerging,812310,Coin-Operated Laundries and Drycleaners,other_services.dry_cleaning_laundry,high,modern_via_naics6
Maze / Agritourism Farm,Niche & Emerging,111998,All Other Miscellaneous Crop Farming,agriculture.crop_farming,high,modern_via_naics6
Membership Site Operator,Niche & Emerging,519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_via_naics6
Microgreens Producer,Niche & Emerging,111419,Other Food Crops Grown Under Cover,agriculture.crop_farming,high,modern_via_naics6
Mobile Billboard / LED Truck,Niche & Emerging,541850,Outdoor Advertising,professional.consulting,high,modern_via_naics6
Mobile Laundry / Pickup Service,Niche & Emerging,812320,Drycleaning and Laundry Services (except Coin-Operated),other_services.dry_cleaning_laundry,high,modern_via_naics6
